fips,rate
1001,0.097
1003,0.091
1005,0.134
1007,0.121
1009,0.099
1011,0.164
1013,0.167
1015,0.108
1017,0.186
1019,0.118
1021,0.099
1023,0.127
1025,0.17
1027,0.159
1029,0.104
1031,0.085
1033,0.114
1035,0.195
1037,0.14
1039,0.101
1041,0.097
1043,0.096
1045,0.093
1047,0.211
1049,0.143
1051,0.09
1053,0.129
1055,0.107
1057,0.128
1059,0.123
1061,0.1
1063,0.147
1065,0.127
1067,0.099
1069,0.089
1071,0.118
1073,0.107
1075,0.148
1077,0.105
1079,0.136
1081,0.086
1083,0.093
1085,0.185
1087,0.114
1089,0.075
1091,0.148
1093,0.152
1095,0.092
1097,0.111
1099,0.187
1101,0.102
1103,0.104
1105,0.198
1107,0.13
1109,0.087
1111,0.151
1113,0.126
1115,0.107
1117,0.076
1119,0.139
1121,0.136
1123,0.137
1125,0.09
1127,0.119
1129,0.151
1131,0.256
1133,0.175
2013,0.101
2016,0.084
2020,0.07
2050,0.148
2060,0.036
2068,0.034
2070,0.084
2090,0.069
2100,0.062
2110,0.057
2122,0.097
2130,0.061
2150,0.066
2164,0.059
2170,0.088
2180,0.121
2185,0.057
2188,0.132
2201,0.136
2220,0.059
2232,0.073
2240,0.081
2261,0.064
2270,0.204
2280,0.098
2282,0.063
2290,0.136
4001,0.148
4003,0.074
4005,0.077
4007,0.109
4009,0.144
4011,0.215
4012,0.089
4013,0.085
4015,0.102
4017,0.142
4019,0.084
4021,0.118
4023,0.172
4025,0.095
4027,0.242
5001,0.143
5003,0.091
5005,0.082
5007,0.053
5009,0.064
5011,0.078
5013,0.062
5015,0.043
5017,0.096
5019,0.063
5021,0.104
5023,0.059
5025,0.06
5027,0.081
5029,0.065
5031,0.059
5033,0.066
5035,0.099
5037,0.071
5039,0.076
5041,0.099
5043,0.091
5045,0.06
5047,0.059
5049,0.061
5051,0.066
5053,0.057
5055,0.082
5057,0.086
5059,0.073
5061,0.072
5063,0.078
5065,0.077
5067,0.092
5069,0.092
5071,0.061
5073,0.086
5075,0.079
5077,0.082
5079,0.082
5081,0.056
5083,0.077
5085,0.052
5087,0.053
5089,0.112
5091,0.045
5093,0.113
5095,0.074
5097,0.058
5099,0.087
5101,0.062
5103,0.071
5105,0.056
5107,0.088
5109,0.063
5111,0.075
5113,0.064
5115,0.062
5117,0.067
5119,0.06
5121,0.073
5123,0.094
5125,0.058
5127,0.063
5129,0.059
5131,0.062
5133,0.051
5135,0.078
5137,0.066
5139,0.095
5141,0.091
5143,0.05
5145,0.067
5147,0.091
5149,0.064
6001,0.113
6003,0.152
6005,0.121
6007,0.122
6009,0.143
6011,0.145
6013,0.112
6015,0.119
6017,0.112
6019,0.141
6021,0.138
6023,0.103
6025,0.301
6027,0.095
6029,0.139
6031,0.139
6033,0.147
6035,0.118
6037,0.127
6039,0.123
6041,0.08
6043,0.088
6045,0.101
6047,0.157
6049,0.111
6051,0.103
6053,0.1
6055,0.087
6057,0.109
6059,0.094
6061,0.113
6063,0.139
6065,0.147
6067,0.122
6069,0.125
6071,0.136
6073,0.102
6075,0.097
6077,0.155
6079,0.09
6081,0.09
6083,0.085
6085,0.118
6087,0.102
6089,0.147
6091,0.137
6093,0.135
6095,0.115
6097,0.099
6099,0.153
6101,0.151
6103,0.137
6105,0.159
6107,0.149
6109,0.127
6111,0.11
6113,0.109
6115,0.178
8001,0.081
8003,0.055
8005,0.069
8007,0.062
8009,0.034
8011,0.05
8013,0.055
8014,0.066
8015,0.051
8017,0.02
8019,0.07
8021,0.051
8023,0.084
8025,0.076
8027,0.052
8029,0.066
8031,0.077
8033,0.132
8035,0.059
8037,0.062
8039,0.06
8041,0.072
8043,0.077
8045,0.058
8047,0.06
8049,0.058
8051,0.044
8053,0.022
8055,0.072
8057,0.033
8059,0.067
8061,0.028
8063,0.029
8065,0.071
8067,0.047
8069,0.056
8071,0.07
8073,0.037
8075,0.046
8077,0.082
8079,0.053
8081,0.056
8083,0.063
8085,0.069
8087,0.049
8089,0.058
8091,0.041
8093,0.061
8095,0.026
8097,0.05
8099,0.05
8101,0.075
8103,0.039
8105,0.048
8107,0.06
8109,0.078
8111,0.053
8113,0.042
8115,0.033
8117,0.058
8119,0.067
8121,0.032
8123,0.075
8125,0.026
9001,0.078
9003,0.088
9005,0.079
9007,0.067
9009,0.089
9011,0.076
9013,0.067
9015,0.09
10001,0.079
10003,0.086
10005,0.073
11001,0.117
12001,0.071
12003,0.114
12005,0.089
12007,0.083
12009,0.111
12011,0.098
12013,0.082
12015,0.127
12017,0.121
12019,0.098
12021,0.131
12023,0.09
12027,0.117
12029,0.123
12031,0.112
12033,0.098
12035,0.162
12037,0.071
12039,0.096
12041,0.1
12043,0.1
12045,0.098
12047,0.113
12049,0.126
12051,0.168
12053,0.138
12055,0.116
12057,0.115
12059,0.072
12061,0.152
12063,0.072
12065,0.085
12067,0.072
12069,0.123
12071,0.139
12073,0.072
12075,0.121
12077,0.053
12079,0.117
12081,0.127
12083,0.133
12085,0.119
12086,0.113
12087,0.07
12089,0.107
12091,0.072
12093,0.133
12095,0.114
12097,0.128
12099,0.117
12101,0.125
12103,0.112
12105,0.127
12107,0.122
12109,0.09
12111,0.153
12113,0.094
12115,0.123
12117,0.106
12119,0.09
12121,0.098
